Year,Grader,Grade Type,Grade,Inventory #,Mint Location,DL Toning Degree,Brilliance Obverse,Brilliance Reverse,Toning Obverse,Toning Reverse,EdgeFreq Flat Obverse,EdgeFreq Flat Reverse,EdgeFreq Descriptive Obverse,EdgeFreq Descriptive Reverse,EdgeFreq RedOrange Obverse,EdgeFreq RedOrange Reverse,EdgeFreq Yellow Obverse,EdgeFreq Yellow Reverse,EdgeFreq Green Obverse,EdgeFreq Green Reverse,Unnamed: 21,Unnamed: 22
1880,PCGS,MS,63,2432444,Carson City,3,6,5,2.4,1.3,2984,2838,141074,180117,26087,35507,82018,65501,20721,71224,,
1898,PCGS,MS,65,2097794,Philadelphia,4,9,8,3.6,3.25,2251,4673,135361,176200,21940,43587,84678,60112,27369,73383,,
1880,PCGS-CAC,MS,63,2231508,New Orleans,1,9,9,0,0,6459,4517,158237,167306,35299,36573,85196,51781,32893,78485,,
1882,PCGS-CAC,MS,67,2236055,San Francisco,1,10,10,0,0,2405,1534,143504,205794,18123,36863,85764,71816,21457,71753,,
1884,PCGS-GSA-CAC,MS,65,2286270,Carson City,1,10,10,0,0,5169,3635,154968,141874,20544,30731,85919,47675,19761,53459,,
1878,PCGS,MS,65,2277605,Philadelphia,2,10,10,0,0,1939,1761,155054,194200,18264,34338,87213,70145,23330,65020,,
1878,PCGS,MS,63,2187394,Philadelphia,2,10,10,0,0,2693,2673,161665,227992,22926,34571,88496,84642,20187,77179,,
1885,PCGS,MS,64,2188916,New Orleans,2,9,9,0,0.65,6556,4189,140414,175033,33686,33825,88812,66927,35756,73795,,
1878,PCGS-CAC,MS,63,2207964,Philadelphia,2,9,10,0,0,3802,1713,163337,213179,32339,35165,89226,70193,28750,75918,,
1880,NGC,MS,66,2115877,San Francisco,1,9,8,0,0,5112,2090,156412,194247,25522,34188,89744,68116,24246,74474,,
1885,PCGS,MS,65,2260552,Philadelphia,2,9,9,0,0,4248,2205,159180,190714,23998,29981,89749,64894,22891,64557,,
1881,NGC,MS,67,2270240,Carson City,3,9,10,2.35,0.35,10244,8245,195941,200009,55676,61996,89909,59498,41788,67244,,
1880,NGC-CAC,MS,66,2273703,San Francisco,2,10,10,0,0,2937,1041,152416,198468,17713,32782,90787,66489,24433,73919,,
1878,PCGS-CAC,MS,61,2252114,Philadelphia,1,10,9,0,0,6264,1708,171466,163913,38989,30770,90908,48821,33694,74968,,
1880,PCGS,MS,63,2296212,San Francisco,1,10,10,0,0,8211,1678,154568,191743,29262,34022,90929,67377,22869,72783,,
1880,PCGS-CAC,MS,63,2258044,New Orleans,1,10,9,0,0,6359,2012,156856,178721,32902,27692,91058,57158,29074,79402,,
1879,PCGS,MS,64,2248144,San Francisco,3,9,9,2,2.6,12959,6713,208330,213182,56115,65023,91198,63529,44139,73318,,
1878,PCGS,MS,64,1867253,Carson City,1,6,4,1.05,0.35,3972,1201,160260,157189,29891,25000,91373,55470,34138,73686,,
1880,PCGS-CAC,MS,62,2252119,New Orleans,1,9,9,0,0,5942,2910,165535,174089,37619,33523,91518,53055,31688,79391,,
1881,PCGS-CAC,MS,65,2230472,Carson City,2,10,10,0,0,3145,1881,147218,191263,18356,32878,91944,66711,21041,72006,,
1880,PCGS-CAC,MS,62,2231509,New Orleans,1,10,8,0,0,8721,3284,159362,158543,38233,35209,91985,48860,28455,74282,,
1885,PCGS-CAC,MS,66,1880907,New Orleans,1,8,6,1.75,0,3654,3462,129465,187592,25739,38275,91994,69653,33691,77949,,
