Year,Grader,Grade Type,Grade,Inventory #,Mint Location,DL Toning Degree,Brilliance Obverse,Brilliance Reverse,Toning Obverse,Toning Reverse,EdgeFreq Flat Obverse,EdgeFreq Flat Reverse,EdgeFreq Descriptive Obverse,EdgeFreq Descriptive Reverse,EdgeFreq RedOrange Obverse,EdgeFreq RedOrange Reverse,EdgeFreq Yellow Obverse,EdgeFreq Yellow Reverse,EdgeFreq Green Obverse,EdgeFreq Green Reverse,Unnamed: 21,Unnamed: 22
1903,NGC,MS,63,2298801,Philadelphia,2,10.0,10.0,0.0,0.0,2191,3006,191439,205694,26176,35312,118778,80982,30152,76285,,
1880,NGC,MS,66,2065723,San Francisco,3,8.0,7.0,4.35,3.6,10282,6612,196974,214767,53163,53762,113926,77061,31800,83325,,
1893,PCGS,MS,61,2290074,New Orleans,1,10.0,10.0,0.0,0.0,4038,3321,194997,253439,32463,45541,113414,86403,34438,90837,,
1921,PCGS,MS,62,2203081,San Francisco,2,10.0,10.0,0.0,0.0,3736,3057,203643,238579,29171,41080,126069,91559,31031,83740,,
1921,PCGS,MS,62,2259686,Denver,1,10.0,10.0,0.0,0.0,4882,2269,224876,247787,41649,42426,131779,84612,34604,86828,,
1885,PCGS,AU,58,2458446,San Francisco,2,10.0,10.0,1.75,0.35,2350,3394,171665,223619,26283,41151,119570,84613,27128,84062,,
1899,PCGS,MS,65,1858299,New Orleans,3,10.0,10.0,0.7,0.0,2928,2283,186403,220815,24672,35610,121742,82486,24136,85214,,
1885,PCGS,MS,65,2295103,Philadelphia,1,10.0,10.0,0.0,0.0,2430,1674,212429,236616,27041,37485,125859,81077,29067,84361,,
1881,NGC,MS,63,2192913,San Francisco,1,9.0,9.0,0.0,0.0,6405,2099,170554,199429,35264,33321,102730,70258,17550,62607,,
1885,PCGS,MS,63,2276067,Philadelphia,1,9.0,10.0,0.0,0.0,2426,3678,188187,206651,29186,37429,117481,73775,22177,77114,,
1884,PCGS,MS,66,2076154,Philadelphia,1,10.0,10.0,1.75,0.0,1415,1853,184878,229788,22103,38952,117037,88127,33620,88134,,
1883,PCGS,MS,64,2247544,Carson City,2,10.0,10.0,0.0,0.0,3301,2099,178683,200116,27755,34204,112128,72949,29053,78415,,
1889,PCGS,MS,63,2287741,New Orleans,1,10.0,10.0,0.0,0.0,2547,1383,170388,203300,25330,32414,109369,75644,20654,71547,,
1883,PCGS,MS,64,1856886,New Orleans,2,10.0,10.0,2.4,0.0,1668,2034,185928,227915,23576,37350,118951,88398,26860,88195,,
1897,PCGS-CAC,MS,62,2453590,New Orleans,2,10.0,10.0,0.0,0.0,4351,1656,192096,200676,33172,35188,118598,69072,31342,74754,,
1902,PCGS-CAC,MS,64,1860728,Philadelphia,4,9.0,10.0,3.6,3.95,9690,6418,193192,221757,51263,51036,120447,78318,34505,91233,,
